ID,Year,Date,Database,Location,City..Country,Origin,Transit,Destination,Weight..kg.,Number,Airline,Mode.of.Transport,Method.of.Detection,Obfuscation.Method,Species
414,2010,27-Jan-10,Rhino Horn,Beijing Capital Airport,"Beijing, China",Nigeria,,"Beijing, China",0.16,NA,,Unknown,,,
426,2011,23-Feb-11,Rhino Horn,Suvarnabhumi Airport,"Bangkok, Thailand","Lagos, Nigeria","Doha, Qatar; Kuala Lumpur, Malaysia","Bangkok, Thailand",2.7,3,,Air Freight,,"""craft Work""",
460,2014,1-May-14,Rhino Horn,Guangzhou Baiyun Airport,"Guangzhou, China","Lagos, Nigeria","Doha, Qatar","Guangzhou, China",30.95,NA,,Unknown,,,
535,2012,4-Mar-12,Ivory,Murtala Mohammed Airport,"Lagos, Nigeria","Lagos, Nigeria",Qatar,China,2,NA,Qatar Airways,Passanger item,,Concealed in Teddy Bear,
537,2012,25-Apr-12,Ivory,Suvarnabhumi Airport,"Bangkok, Thailand",Nigeria,,"Bangkok, Thailand",58.54,NA,,Airfreight,,Falsely declared as gemstones,
599,2013,29-May-13,Ivory,Cairo Airport,"Cairo, Egypt",Nigeria,"Cairo, Egypt",,17,NA,,,,,
601,2013,29-May-13,Ivory,Cairo Airport,"Cairo, Egypt",Nigeria,"Cairo, Egypt",,11,NA,Egypt Airlines,,,,
602,2013,10-Jun-13,Ivory,Murtala Mohammed Airport,"Lagos, Nigeria","Lagos, Nigeria",,,4.55,NA,,,,,
603,2013,10-Jun-13,Ivory,Murtala Mohammed Airport,"Lagos, Nigeria","Lagos, Nigeria",,,3.85,NA,,,,,
604,2013,20-Jun-13,Ivory,Murtala Mohammed Airport,"Lagos, Nigeria","Lagos, Nigeria",,,,NA,,,,,
606,2013,28-Jun-13,Ivory,Murtala Mohammed Airport,"Lagos, Nigeria","Lagos, Nigeria",,,96,NA,,,,,
607,2013,28-Jun-13,Ivory,Murtala Mohammed Airport,"Lagos, Nigeria","Lagos, Nigeria",,,120,NA,,,,,
663,2014,1-May-14,Ivory,Guangzhou Baiyun Airport,"Guangzhou, China","Lagos, Nigeria","Doha, Qatar","Guangzhou, China",39.5,NA,,Unknown,,30.95,
671,2014,10-Jun-14,Ivory,Tan Son Nhat Airport,"Ho Chi Minh City, Vietnam",Nigeria,"Doha, Qatar","Ho Chi Minh City, Vietnam",110,NA,,Airfreight,Custom Clearance,,
673,2014,22-Jun-14,Ivory,Tan Son Nhat Airport,"Ho Chi Minh City, Vietnam",Nigeria,"Doha, Qatar","Ho Chi Minh City, Vietnam",90,NA,,Airfrieght,,,
696,2015,19-Feb-15,Ivory,Hong Kong Airport,"Hong Kong, China",Nigeria,,"Hong Kong, China",60,NA,,Airfreight,Dog,,
723,2015,24-Aug-15,Ivory,Hong Kong Airport,"Hong Kong, China","Abuja, Nigeria","Dubai, UAE","Hong Kong, China",15,NA,,Luggage,Custom Clearance,tailor-made vest ,
728,2015,29-Sep-15,Ivory,Hong Kong Airport,"Hong Kong, China","Abuja, Nigeria","Dubai, UAE","Hong Kong, China",16,NA,,Passenger Clothing & Luggage,Custom Clearance,Tailor-made vest and underpants,
737,2015,6-Nov-15,Ivory,Hong Kong Airport,"Hong Kong, China","Abuja, Nigeria","Dubai, UAE","Hong Kong, China",16,NA,,Luggage,Custom Clearance,Concealed in tailor-made vest,
763,2016,4-Apr-16,Ivory,Jomo Kenyatta Airport,"Nairobi, Kenya","Lagos, Nigeria","Nairobi, Kenya","Guangzhou, China",2,NA,,Unknown,,,
771,2016,27-Jul-16,Ivory,Hong Kong Airport,"Hong Kong, China","Lagos, Nigeria","Addis Ababa, Ethiopia","Hong Kong, China",8,NA,,Luggage,,Wrapped in newspaper and adhesive tape,
