Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,,,,,,,,,,,,,,,,,,
1/18/2009,Finches,JFK Airport,"New York, USA",Guyana,,"New York, USA",,3,Delta Airlines,Luggage,,,"The three birds were in a plastic container in the luggage of a US passenger, who was fined. One bird was dead.",https://assets.documentcloud.org/documents/2192261/operation-g-bird.pdf,,,,,,,,,,,,,,,,,,,,
2/3/2009,Pigeons; Bird eggs,Melbourne Airport,"Melbourne, Australia",,"Dubai, UAE","Melbourne, Australia",,4,,Passenger Clothing/Items; luggage,,in vitamin bottles and in tights under his pants,The eggs were contained in a vitamin container and the pigeons were stuffed in envelopes and stuffed in tights under the passengers pants. One arrest,http://www.telegraph.co.uk/news/worldnews/australiaandthepacific/australia/4445669/Man-caught-smuggling-pigeons-in-his-trousers.html,http://i.telegraph.co.uk/multimedia/archive/01252/pigport_1252075f.jpg,,,,,,,,,,,,,,,,,,,
2/12/2009,Parrots,Taipei Airport,"Taipei, Taiwan",Indonesia,,,,8,,Luggage,,,"2 Slow Lorises (CITES I), 8 parrots: Moustached Parakeet, Moluccan Lory, Eclectus Parrot, and Green-naped Lorikeet",TRAFFIC Bulletin 1997 - 2016,,,cannot verify,,,,,,,,,,,,,,,,,
3/?/2009,red-whiskered bulbuls; magpie robins; shama thrushes,Los Angeles Airport,"Los Angeles, USA",Vietnam,,"Los Angeles, USA",,14,,Passenger Clothing/Items,,,Birds were contained in custom leggings worn under the passenger's pants. One arrest. The suspect had previously attempted to smuggle birds into the USA.,http://news.nationalgeographic.com/news/2009/05/090506-bird-smuggling-picture.html,http://news.nationalgeographic.com/news/2009/05/images/090506-bird-smuggling-picture_big.jpg,,,,,,,,,,,,,,,,,,,
3/13/2009,Birds,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",,"Riyadh, Saudi Arabia",,30,,Luggage,,,Three primates were also recovered with the birds from a familiy's luggage,http://www.traveldailymedia.com/38700/birds-primates-seized-at-jakarta-airport/,,,,,,,,,,,,,,,,,,,,
9/6/2009,Parrot eggs,Perth Airport,"Perth, Australia","Denpasar, Indonesia",,"Perth, Australia",,38,,Passenger Clothing/Items,,,"Australian national found with 37 or 39 eggs in a specially made vest. Arrested, charged, and sentenced.",TRAFFIC Bulletin 1997 - 2016,,,cannot verify,,,,,,,,,,,,,,,,,
9/14/2009,Finches,JFK Airport,"New York, USA","Georgetown, Guyana",,"New York, USA",,31,Carribean Airlines,Luggage,,Wrapped in toiled paper rolls and concealed in lining of the suitcase,Only 6 birds were alive when discovered. One arrest(Guilty-plea). The suspect had previous criminal record of 2 attempted instances of finch smuggling from Guyana. Flight BW424,https://assets.documentcloud.org/documents/2192261/operation-g-bird.pdf,,,,,,,,,,,,,,,,,,,,
10/2/2009,Chinese Hwameis,Kaohsiung Airport,"Kaohsiung, Taiwan",China,,,,6,,Luggage,Detector Dog,,CITES II species concealed in wooden boxes in luggage. One Chinese man arrested.,TRAFFIC Bulletin 1997 - 2016,,,cannot verify,,,,,,,,,,,,,,,,,
10/20/2009,Macaws,Bengaluru Airport,"Bangalore, India","Bangalore, India",,"Delhi, India",,2,,Airfreight,,,No arrests. Birds discovered when customs officer heard bird sounds. Also 2 marmosets,http://www.deccanherald.com/content/31569/rare-animals-birds-seized-bia.html,,,,,,,,,,,,,,,,,,,,
10/31/2009,Gyrfalcons,Domodedovo Airport,"Moscow, Russia","Moscow, Russia",,"Doha, Qatar",,14,,Luggage,,,,,,,cannot verify,,,,,,,,,,,,,,,,,
11/20/2009,Birds,Taipei Airport,"Taipei, Taiwan",China,,,,116,,Luggage,,,"8 Radiated Tortoises, 22 Leopard Tortoises, and 116 birds of 13 species. One suspect arrested.",TRAFFIC Bulletin 1997 - 2016,,,cannot verify,,,,,,,,,,,,,,,,,
11/21/2009,Canaries,Malta Airport,"Luqa, Malta","Luqa, Malta",,"Tripoli, Libya",,200,,Passenger Clothing/Items; Luggage,,,The birds were sedated. Some were dead.,http://www.timesofmalta.com/articles/view/20091121/local/man-caught-carrying-200-canaries-at-airport.282637,,,,,,,,,,,,,,,,,,,,
11/28/2009,Grey Parrots,Douala Airport,"Douala, Cameroon","Douala, Cameroon",,Bahamas,,300,,Luggage,,"""Practically fastened"" in ten cases",smugglers declared that it was food; suspects got away,"http://www.bonaberi.com/ar,cameroun_-_trois_cent_perroquets_saisis_a_l_aeroport_de_douala,7145.html https://www.parrots.org/flyfree/massive-confiscation-of-300-african-grey-parrots.html",,,,,,,,,,,,,,,,,,,,
12/2/2009,Gyrfalcons,Petropavlovsk Kamchatskiy Airport,"Petropavlovsk Kamchatskiy, Russia","Petropavlovsk Kamchatskiy, Russia",,"Vladivostok, Russia",,9,,Luggage,,,Gyrfalcons frequently smuggled to Arab countries from Russia. One Russian man charged. Wrapped in dense cloth and hidden in bags with a cooling agent to prevent overheating.,TRAFFIC Bulletin 1997 - 2016; http://www.vostokmedia.com/02-12-2009/n60943.html,,,,,,,,,,,,,,,,,,,,
2/1/2010,Grey Parrots,Douala Airport,"Douala, Cameroon","Douala, Cameroon","Addis Ababa, Ethiopia","Kuwait City, Kuwait; Manama, Bahrain",,1000,Ethiopian Airlines,Airfreight,,,"No CITES documentation; Packed into multiple crates, 77 parrots died",TRAFFIC Bulletin 1997 - 2016; http://www.freeparrots.net/article.php?story=20100228132401634; https://www.parrots.org/flyfree/african-grey-parrots-illegal-trade-continues.html,,,,,,,,,,,,,,,,,,,,
