"","country","Origin","Transit","Destination","sum"
"456535","Argentina",2,0,0,2
"456536","Armenia",0,0,1,1
"456537","Australia",1,0,4,5
"456538","Austria",0,1,1,2
"456539","Bahamas",0,0,1,1
"456540","Bahrain",3,0,3,6
"456541","Bangladesh",0,1,1,2
"456542","Belgium",5,0,1,6
"456545","Brazil",10,3,10,23
"456546","Bulgaria",0,0,1,1
"456549","Cameroon",2,0,0,2
"456550","Canada",0,0,2,2
"456551","Canary Islands",2,0,0,2
"456552","Chile",1,0,0,1
"456553","China",4,0,2,6
"456557","Cuba",6,0,0,6
"456558","Czech Republic",1,0,0,1
"456559","Democratic Republic of the Congo",2,0,1,3
"456563","Ethiopia",0,1,0,1
"456564","France",0,1,3,4
"456565","French Guiana",2,0,0,2
"456566","Germany",1,0,2,3
"456569","Guyana",10,0,0,10
"456570","India",2,0,1,3
"456571","Indonesia",10,0,1,11
"456573","Iraq",0,0,1,1
"456575","Israel",0,0,3,3
"456576","Italy",2,1,2,5
"456578","Jamaica",1,0,0,1
"456579","Japan",0,0,1,1
"456580","Jordan",1,0,0,1
"456581","Kazakhstan",2,0,0,2
"456582","Kenya",1,0,0,1
"456583","Kuwait",1,0,1,2
"456584","Kyrgyzstan",1,0,0,1
"456586","Lebanon",1,0,0,1
"456587","Libya",0,0,2,2
"456592","Maldives",0,0,1,1
"456593","Mali",1,0,0,1
"456594","Malta",2,0,1,3
"456596","Mexico",5,0,3,8
"456597","Morocco",1,0,1,2
"456601","Nepal",1,0,0,1
"456602","Netherlands",1,0,2,3
"456607","Oman",0,0,1,1
"456608","Pakistan",9,0,3,12
"456610","Peru",2,0,0,2
"456611","Philippines",1,0,0,1
"456612","Portugal",1,0,0,1
"456613","Qatar",4,0,2,6
"456615","Russia",9,1,5,15
"456617","Saudi Arabia",0,0,2,2
"456620","Singapore",0,0,4,4
"456621","Slovakia",0,0,1,1
"456623","South Africa",1,0,0,1
"456626","Spain",0,1,3,4
"456630","Suriname",1,0,0,1
"456631","Switzerland",0,0,1,1
"456632","Syria",0,0,1,1
"456633","Taiwan",1,0,3,4
"456635","Thailand",3,1,0,4
"456638","Turkey",1,0,0,1
"456640","UK",1,1,5,7
"456642","United Arab Emirates",1,3,24,28
"456643","USA",1,0,18,19
"456644","Venezuela",4,0,0,4
"456645","Vietnam",7,1,1,9
