c1,c2,sc
Dubai,Karachi,dest
Dubai,Beijing,dest
Dubai,Ho Chi Minh City,dest
Dubai,Melbourne,dest
Dubai,Sydney,dest
Dar es Salaam,Dubai,trans
Nairobi,Dubai,trans
Nairobi,Dubai,trans
Dubai,Bangkok,trans
Dubai,Shanghai,dest
Harare,Dubai,trans
Dubai,Kuala Lumpur,dest
Mombasa,Dubai,trans
Dubai,Bangkok,dest
Nairobi,Dubai,trans
Nairobi,Dubai,dest
Dubai,Hong Kong,trans
Dubai,Hong Kong,dest
Abuja,Dubai,trans
Harare,Dubai,dest
Abuja,Dubai,trans
Harare,Dubai,dest
Abuja,Dubai,trans
Harare,Dubai,dest
Abidjan,Dubai,trans
Harare,Dubai,dest
Maputo,Dubai,trans
Birmingham,Dubai,dest
Moscow,Dubai,trans
Dubai,Singapore,dest
Dubai,Hong Kong,trans
Dubai,Hong Kong,dest
Dubai,Hong Kong,trans
Dubai,Hong Kong,dest
Dubai,Hong Kong,trans
Bishkek,Dubai,trans
Dubai,Hong Kong,dest
Dubai,Hong Kong,dest
Dubai,Hong Kong,dest
Karachi,Dubai,dest
Shymkent,Dubai,dest
Sao Paulo,Dubai,dest
Jakarta,Dubai,dest
Bangkok,New Delhi,trans
New Delhi,Dubai,dest
