C1,C2,sc
Dubai,Karachi,D
Dubai,Beijing,D
Dubai,Ho Chi Minh City,D
Dubai,Melbourne,D
Dubai,Sydney,D
Dar es Salaam,Dubai,T
Nairobi,Dubai,T
Nairobi,Dubai,T
Dubai,Bangkok,T
Dubai,Shanghai,D
Harare,Dubai,T
Dubai,Kuala Lumpur,D
Mombasa,Dubai,T
Dubai,Bangkok,D
Nairobi,Dubai,T
Dubai,Hong Kong,D
Nairobi,Dubai,T
Dubai,Hong Kong,D
Abuja,Dubai,T
Dubai,Hong Kong,D
Harare,Dubai,T
Dubai,Hong Kong,D
Abuja,Dubai,T
Dubai,Hong Kong,D
Harare,Dubai,T
Dubai,Hong Kong,D
Abuja,Dubai,T
Dubai,Hong Kong,D
Harare,Dubai,T
Dubai,Hong Kong,D
Abidjan,Dubai,T
Dubai,Hong Kong,D
Harare,Dubai,T
Dubai,Hong Kong,D
Maputo,Dubai,T
Dubai,Singapore,D
Birmingham,Dubai,D
Moscow,Dubai,D
Bishkek,Dubai,D
Karachi,Dubai,D
Shymkent,Dubai,D
Sao Paulo,Dubai,D
Jakarta,Dubai,D
Bangkok,New Delhi,T
New Delhi,Dubai,D
