c1,c1lat,c1long,c2,c2lat,c2long,routes,count,,unique,ulat,ulong,counta,countb,sum
Entebbe,0.060395527,32.46002356,Bangkok,13.74999921,100.5166447,Entebbe to Bangkok,1,,Entebbe,0.060395527,32.46002356,5,0,5
Kampala,0.316658955,32.58332353,Doha,25.28655601,51.53296789,Kampala to Doha,1,,Kampala,0.316658955,32.58332353,1,0,1
Addis Ababa,9.033310363,38.70000443,Nairobi,-1.283346742,36.81665686,Addis Ababa to Nairobi,2,,Addis Ababa,9.033310363,38.70000443,2,1,3
Nairobi,-1.283346742,36.81665686,Dubai,25.22999615,55.27997432,Nairobi to Dubai,1,,Nairobi,-1.283346742,36.81665686,5,4,9
Dubai,25.22999615,55.27997432,Bangkok,13.74999921,100.5166447,Dubai to Bangkok,1,,Dubai,25.22999615,55.27997432,1,1,2
Nairobi,-1.283346742,36.81665686,Doha,25.28655601,51.53296789,Nairobi to Doha,2,,Doha,25.28655601,51.53296789,1,2,3
Doha,25.28655601,51.53296789,Bangkok,13.74999921,100.5166447,Doha to Bangkok,2,,Bangkok,13.74999921,100.5166447,1,4,5
Bangkok,13.74999921,100.5166447,Vientiane,17.96669273,102.59998,Bangkok to Vientiane,2,,Dodoma,-6.183306052,35.75000362,1,0,1
Dodoma,-6.183306052,35.75000362,Nairobi,-1.283346742,36.81665686,Dodoma to Nairobi,1,,Cape Town,-33.92001097,18.43498816,1,0,1
Nairobi,-1.283346742,36.81665686,Lagos,6.443261653,3.391531071,Nairobi to Lagos,2,,Kinshasa,-4.329724102,15.31497188,2,0,2
Cape Town,-33.92001097,18.43498816,Hong Kong,22.3049809,114.1850093,Cape Town to Hong Kong,1,,Nagoya,35.15499758,136.9149914,1,0,1
Kinshasa,-4.329724102,15.31497188,Nairobi,-1.283346742,36.81665686,Kinshasa to Nairobi,1,,Lagos,6.443261653,3.391531071,1,2,3
Nairobi,-1.283346742,36.81665686,Hong Kong,22.3049809,114.1850093,Nairobi to Hong Kong,2,,Luanda,-8.838286114,13.23442704,1,0,1
Nagoya,35.15499758,136.9149914,Dalian,38.92283839,121.6298308,Nagoya to Dalian,1,,Hong Kong,22.3049809,114.1850093,1,3,4
Entebbe,0.060395527,32.46002356,Lagos,6.443261653,3.391531071,Entebbe to Lagos,1,,London,51.49999473,-0.116721844,1,1,2
Lagos,6.443261653,3.391531071,Kuala Lumpur,3.166665872,101.6999833,Lagos to Kuala Lumpur,1,,Istanbul,41.10499615,29.01000159,2,2,4
Luanda,-8.838286114,13.23442704,Addis Ababa,9.033310363,38.70000443,Luanda to Addis Ababa,1,,Maputo,-25.95527749,32.58916296,1,0,1
Addis Ababa,9.033310363,38.70000443,Hong Kong,22.3049809,114.1850093,Addis Ababa to Hong Kong,1,,Vientiane,17.96669273,102.59998,0,1,1
Hong Kong,22.3049809,114.1850093,Phnom Penh,11.55003013,104.9166345,Hong Kong to Phnom Penh,1,,Dalian,38.92283839,121.6298308,0,1,1
Entebbe,0.060395527,32.46002356,Amsterdam,52.34996869,4.916640176,Entebbe to Amsterdam,1,,Kuala Lumpur,3.166665872,101.6999833,0,2,2
Entebbe,0.060395527,32.46002356,London,51.49999473,-0.116721844,Entebbe to London,1,,Phnom Penh,11.55003013,104.9166345,0,1,1
London,51.49999473,-0.116721844,Istanbul,41.10499615,29.01000159,London to Istanbul,1,,Amsterdam,52.34996869,4.916640176,0,1,1
Istanbul,41.10499615,29.01000159,Singapore,1.293033466,103.8558207,Istanbul to Singapore,1,,Singapore,1.293033466,103.8558207,0,2,2
Entebbe,0.060395527,32.46002356,Singapore,1.293033466,103.8558207,Entebbe to Singapore,1,,,,,,,
Maputo,-25.95527749,32.58916296,Nairobi,-1.283346742,36.81665686,Maputo to Nairobi,2,,,,,,,
Nairobi,-1.283346742,36.81665686,Bangkok,13.74999921,100.5166447,Nairobi to Bangkok,4,,,,,,,
Kinshasa,-4.329724102,15.31497188,Istanbul,41.10499615,29.01000159,Kinshasa to Istanbul,1,,,,,,,
Istanbul,41.10499615,29.01000159,Kuala Lumpur,3.166665872,101.6999833,Istanbul to Kuala Lumpur,1,,,,,,,
