"","country","Origin","Transit","Destination","sum"
"1","Angola",15,1,0,16
"5","Australia",0,1,0,1
"10","Belgium",1,1,0,2
"11","Benin",0,1,0,1
"12","Botswana",1,0,0,1
"15","Burundi",2,0,0,2
"16","Cambodia",0,1,7,8
"17","Cameroon",1,2,0,3
"21","China",2,5,94,101
"27","Democratic Republic of the Congo",14,3,0,17
"28","Egypt",1,4,1,6
"31","Ethiopia",7,14,0,21
"32","France",3,6,0,9
"35","Germany",0,0,1,1
"37","Guinea",2,0,0,2
"40","Indonesia",1,0,1,2
"41","Iran",0,1,0,1
"46","Ivory Coast",4,0,0,4
"48","Japan",3,0,0,3
"51","Kenya",26,26,0,52
"54","Laos",0,0,4,4
"57","Lybia",1,0,0,1
"59","Malawi",18,6,0,24
"60","Malaysia",1,3,10,14
"67","Mozambique",11,2,0,13
"69","Namibia",1,0,0,1
"71","Netherlands",0,2,1,3
"75","Nigeria",18,1,3,22
"77","Pakistan",0,0,1,1
"81","Portugal",0,1,0,1
"82","Qatar",0,8,0,8
"83","Republic of Congo",2,0,0,2
"85","Rwanda",0,1,0,1
"86","Saudi Arabia",0,1,0,1
"88","Singapore",1,1,5,7
"90","Somalia",0,0,1,1
"91","South Africa",7,7,1,15
"92","South Korea",0,4,0,4
"93","South Sudan",3,0,1,4
"96","Sudan",1,1,0,2
"99","Switzerland",0,1,0,1
"101","Taiwan",0,0,2,2
"102","Tanzania",3,0,0,3
"103","Thailand",1,11,22,34
"104","The Netherlands",0,2,0,2
"105","Togo",0,0,1,1
"107","Turkey",0,3,0,3
"108","Uganda",14,1,0,15
"109","UK",0,2,2,4
"110","UK",0,2,2,4
"111","UK",0,2,2,4
"112","UK",0,2,2,4
"113","UK",0,2,2,4
"114","UK",0,2,2,4
"115","UK",0,2,2,4
"116","UK",0,2,2,4
"118","United Arab Emirates",1,20,1,22
"119","USA",2,0,1,3
"121","Vietnam",0,0,23,23
"122","Zambia",3,1,0,4
"123","Zimbabwe",11,0,0,11
