"","ID","Date","Database","Seizure.Country","Seizure.City","Origin.Country1","Origin.City1","Origin.Country2","Origin.City2","Origin.Country3","Origin.City3","Transit.Country1","Transit.City1","Transit.Country2","Transit.City2","Transit.Country3","Transit.City3","Transit.Country4","Transit.City4","Destination.Country1","Destination.City1","Destination.Country2","Destination.City2","Destination.Country3","Destination.City.3","Unique"
"418",418,"27-Jan-10","Rhino Horn","China","Beijing","Nigeria","","",NA,"",NA,"","","","","","","",NA,"China","Beijing","","","","","Malawi"
"430",430,"23-Feb-11","Rhino Horn","Thailand","Bangkok","Nigeria","Lagos","",NA,"",NA,"Qatar","Doha","Malaysia","Kuala Lumpur","","","",NA,"Thailand","Bangkok","","","","","Cambodia"
"464",464,"1-May-14","Rhino Horn","China","Guangzhou","Nigeria","Lagos","",NA,"",NA,"Qatar","Doha","","","","","",NA,"China","Guangzhou","","","","",""
"538",538,"4-Mar-12","Ivory","Nigeria","Lagos","Nigeria","Lagos","",NA,"",NA,"Qatar","","","","","","",NA,"China","","","","","","Burundi"
"540",540,"25-Apr-12","Ivory","Thailand","Bangkok","Nigeria","","",NA,"",NA,"","","","","","","",NA,"Thailand","Bangkok","","","","","Botswana"
"602",602,"29-May-13","Ivory","Egypt","Cairo","Nigeria","","",NA,"",NA,"Egypt","Cairo","","","","","",NA,"","","","","","",""
"604",604,"29-May-13","Ivory","Egypt","Cairo","Nigeria","","",NA,"",NA,"Egypt","Cairo","","","","","",NA,"","","","","","",""
"605",605,"10-Jun-13","Ivory","Nigeria","Lagos","Nigeria","Lagos","",NA,"",NA,"","","","","","","",NA,"","","","","","",""
"606",606,"10-Jun-13","Ivory","Nigeria","Lagos","Nigeria","Lagos","",NA,"",NA,"","","","","","","",NA,"","","","","","",""
"607",607,"20-Jun-13","Ivory","Nigeria","Lagos","Nigeria","Lagos","",NA,"",NA,"","","","","","","",NA,"","","","","","",""
"609",609,"28-Jun-13","Ivory","Nigeria","Lagos","Nigeria","Lagos","",NA,"",NA,"","","","","","","",NA,"","","","","","",""
"610",610,"28-Jun-13","Ivory","Nigeria","Lagos","Nigeria","Lagos","",NA,"",NA,"","","","","","","",NA,"","","","","","",""
"666",666,"1-May-14","Ivory","China","Guangzhou","Nigeria","Lagos","",NA,"",NA,"Qatar","Doha","","","","","",NA,"China","Guangzhou","","","","",""
"674",674,"10-Jun-14","Ivory","Vietnam","Ho Chi Minh City","Nigeria","","",NA,"",NA,"Qatar","Doha","","","","","",NA,"Vietnam","Ho Chi Minh City","","","","",""
"676",676,"22-Jun-14","Ivory","Vietnam","Ho Chi Minh City","Nigeria","","",NA,"",NA,"Qatar","Doha","","","","","",NA,"Vietnam","Ho Chi Minh City","","","","",""
"699",699,"19-Feb-15","Ivory","China","Hong Kong","Nigeria","","",NA,"",NA,"","","","","","","",NA,"China","Hong Kong","","","","",""
"726",726,"24-Aug-15","Ivory","China","Hong Kong","Nigeria","Abuja","",NA,"",NA,"UAE","Dubai","","","","","",NA,"China","Hong Kong","","","","",""
"731",731,"29-Sep-15","Ivory","China","Hong Kong","Nigeria","Abuja","",NA,"",NA,"UAE","Dubai","","","","","",NA,"China","Hong Kong","","","","",""
"740",740,"6-Nov-15","Ivory","China","Hong Kong","Nigeria","Abuja","",NA,"",NA,"UAE","Dubai","","","","","",NA,"China","Hong Kong","","","","",""
"766",766,"4-Apr-16","Ivory","Kenya","Nairobi","Nigeria","Lagos","",NA,"",NA,"Kenya","Nairobi","","","","","",NA,"China","Guangzhou","","","","",""
"774",774,"27-Jul-16","Ivory","China","Hong Kong","Nigeria","Lagos","",NA,"",NA,"Ethiopia","Addis Ababa","","","","","",NA,"China","Hong Kong","","","","",""
