c1,c2,sc
Unknown,Beijing,dest
Lagos,Doha,trans
Doha,Kuala Lumpur,trans
Kuala Lumpur,Bangkok,dest
Lagos,Doha,trans
Doha,Guangzhou,dest
Unknown,Bangkok,dest
Unknown,Cairo,trans
Unknown,Cairo,trans
Lagos,Doha,trans
Doha,Guangzhou,dest
Unknown,Doha,trans
Doha,Ho Chi Minh City,dest
Unknown,Doha,trans
Doha,Ho Chi Minh City,dest
Unknown,Hong Kong,dest
Abuja,Dubai,trans
Dubai,Hong Kong,dest
Abuja,Dubai,trans
Dubai,Hong Kong,dest
Abuja,Dubai,trans
Dubai,Hong Kong,dest
Lagos,Nairobi,trans
Nairobi,Guangzhou,dest
Lagos,Addis Ababa,trans
Addis Ababa,Hong Kong,dest
