Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Flight Number,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,Photo 3,,,,,,,,,,,,,,,,
9-Feb-09,Ploughshare Tortoises,Hong Kong Airport,"Hong Kong, China",Thailand,,"Hong Kong, China",,2,,,Luggage,canine; intelligence,none; food boxes,21 hedgehogs and 23 sugar gliders also seized. One arrest.,TRAFFIC Bulletin 1997 - 2016;  https://www.afcd.gov.hk/english/publications/publications_press/pr1087.html,,,,,,,,,,,,,,,,,,,
20-Feb-09,Shingleback Lizards; bluetongue lizards; three Black-headed Pythons; albino Carpet Python,Sydney Airport,"Sydney, Australia","Sydney, Australia",,"Bangkok, Thailand",,44,,,Luggage,X-ray,socks; cloth bags,"24 Shingleback Lizards, 16 bluetongue lizards, three Black-headed Pythons, and one albino Carpet Python (endangered - numbers may be as low as 100). One Australian man arrested.",TRAFFIC Bulletin 1997 - 2016;  http://www.abc.net.au/news/2009-02-23/44-reptiles-seized-at-sydney-airport/305672; http://www.telegraph.co.uk/news/newstopics/howaboutthat/4786263/Man-smuggled-snakes-into-Australia-in-suitcase.html,,,,,,,,,,,,,,,,,,,
1-Mar-09,Ball Pythons,,United Kingdom,USA,,,,26,,,Unknown,,,Seized by UK Border Agency CITES team,TRAFFIC Bulletin 1997- 2014; https://cites.org/sites/default/files/reports/09-10UnitedKingdom.pdf,,,,,,,,,,,,,,,,,,,
9-Jul-09,Ploughshare Tortoises,Kaohsiung Airport,"Kaohsiung, Taiwan",China,,"Kaohsiung, Taiwan",,1,,,Luggage,,,Ploughshare tortoise is CITES I. was found concealed in the luggage of a businessman returning from China,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
1-May-09,Tortoises,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,,,,,,Unknown,,,One Ploughshare found in a shipment of tortoises. The Ploughshare had been previously seized ^ and was stolen from a conservation trust in Madagascar,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
10-Sep-09,Lizards,Roissy Airport,"Paris, France","Niamey, Niger","Paris, France","Miami, USA",155,193,,,Airfreight,,,Nine boxes arrived in Paris. Two labelled as Sahara Mastigures (CITES II). Illegal in Niger to export wild specimens of this species. The other seven were legal species.,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
29-Aug-09,Chinese Box Turtles,Kaohsiung Airport,"Kaohsiung, Taiwan","Kaohsiung, Taiwan",,"Hong Kong, China",,1255,,,Airfreight,,,"Declared as Chinese Stripe Neck Turtles, discovered in the air freight export area. Chinese Box Turtles are CITES II",TRAFFIC Bulletin 1997-2014; http://www.nownews.com/n/2009/08/31/825651,,,,,,,,,,,,,,,,,,,
10-Sep-09,Uromastyz Geyris Lizards,Roissy Airport,"Paris, France",Niger,"Paris, France","Florida, USA",,188,,,Airfreight,Lack of paperwork,,"The two boxes of lizards, which is a protected species, were part of a batch of nine boxes; only 7 of the 9 cases had certificates authorizing the export of chameleons and reptiles, yellow or red lizards; this species is banned by CITES",http://www.la-croix.com/Semaine-en-images/188-lezards-proteges-saisis-a-l-aeroport-de-Roissy-_NG_-2009-09-18-539389,,,,,,,,,,,,,,,,,,,
11-Nov-09,Tortoises,Taipei Airport,"Taipei, Taiwan",China,,"Taipei, Taiwan",,57,Air Macau,,Luggage,,,27 Radiated Tortoises (CITES I) and 30 Leopard Tortoises (CITES II) concealed in personal luggage. One suspect arrested.,TRAFFIC Bulletin 1997 - 2016; http://taipei.Customs.gov.tw/ct.asp?xItem=43988&ctNode=7306,,,,,,,,,,,,,,,,,,,
17-Nov-09,Skinks; Geckos; Lizards,Los Angeles Airport,"Los Angeles, USA",Australia,,"Los Angeles, USA",,15,,,Passenger - Clothing/Items,,,suspect arrested and sentenced after admitting to at least two other successful previous smuggling instances. The lizards were put in money belts fastened around the chest.,http://www.nbclosangeles.com/news/local/suspected-LAX-Lizard-Smuggler-Sentence-125089899.html; http://www.nydailynews.com/news/national/michael-plank-arrested-los-angeles-international-airport-strapping-15-lizards-chest-article-1.416385,,,,,,,,,,,,,,,,,,,
