"","country","Origin","Transit","Destination","sum"
"6028570","Argentina",2,0,0,2
"6028572","Australia",5,0,0,5
"6028573","Austria",0,0,1,1
"6028574","Bahamas",1,0,0,1
"6028576","Bangladesh",11,5,1,17
"6028577","Belgium",0,2,1,3
"6028580","Brazil",0,0,3,3
"6028582","Burundi",1,0,0,1
"6028584","Cameroon",1,0,0,1
"6028585","Canada",0,0,1,1
"6028586","Canary Islands",1,0,0,1
"6028588","China",10,1,32,43
"6028589","Colombia",1,0,0,1
"6028590","Comoros",1,0,0,1
"6028591","Costa Rica",2,0,0,2
"6028593","Czech Republic",0,0,3,3
"6028596","Egypt",2,0,0,2
"6028597","El Salvador",2,0,0,2
"6028598","Estonia",0,0,1,1
"6028600","France",0,3,3,6
"6028602","Germany",1,1,11,13
"6028603","Ghana",2,0,0,2
"6028604","Guinea",1,0,0,1
"6028605","Guyana",3,0,0,3
"6028606","India",41,4,9,54
"6028607","Indonesia",22,3,10,35
"6028608","Iran",0,0,1,1
"6028611","Israel",0,0,1,1
"6028612","Italy",0,0,2,2
"6028613","Ivory Coast",4,0,0,4
"6028615","Japan",4,1,4,9
"6028618","Kenya",0,6,1,7
"6028619","Kuwait",0,0,1,1
"6028621","Laos",0,0,1,1
"6028622","Lebanon",1,0,0,1
"6028625","Madagascar",31,0,0,31
"6028627","Malaysia",3,7,25,35
"6028631","Mauritius",1,2,0,3
"6028632","Mexico",8,1,6,15
"6028633","Morocco",1,1,0,2
"6028637","Nepal",0,0,1,1
"6028638","Netherlands",0,2,5,7
"6028639","New Zealand",1,0,0,1
"6028640","Nicaragua",1,0,0,1
"6028641","Niger",2,0,0,2
"6028643","Oman",1,0,0,1
"6028644","Pakistan",7,1,0,8
"6028645","Panama",0,2,0,2
"6028647","Philippines",2,0,2,4
"6028648","Philippines",2,0,2,4
"6028649","Philippines",2,0,2,4
"6028650","Philippines",2,0,2,4
"6028651","Philippines",2,0,2,4
"6028652","Philippines",2,0,2,4
"6028653","Philippines",2,0,2,4
"6028654","Philippines",2,0,2,4
"6028656","Qatar",1,2,1,4
"6028658","Russia",1,1,5,7
"6028661","Senegal",1,0,0,1
"6028662","Singapore",0,5,2,7
"6028665","South Africa",1,1,0,2
"6028668","Spain",0,1,3,4
"6028669","Sri Lanka",1,3,1,5
"6028670","Sudan",10,0,1,11
"6028671","Sudan ",0,1,0,1
"6028675","Syria",1,0,0,1
"6028676","Taiwan",1,0,3,4
"6028677","Tanzania",3,1,0,4
"6028678","Tanzania",3,1,0,4
"6028679","Tanzania",3,1,0,4
"6028680","Tanzania",3,1,0,4
"6028681","Tanzania",3,1,0,4
"6028682","Tanzania",3,1,0,4
"6028683","Tanzania",3,1,0,4
"6028684","Tanzania",3,1,0,4
"6028685","Thailand",10,6,37,53
"6028686","Togo",1,0,0,1
"6028687","Tunisia",0,1,0,1
"6028688","Turkey",1,2,0,3
"6028689","Uganda",1,0,0,1
"6028690","UK",1,2,5,8
"6028691","Ukraine",0,0,1,1
"6028692","United Arab Emirates",0,3,24,27
"6028693","USA",5,1,8,14
"6028695","Vietnam",0,1,2,3
