"","country","Origin","Transit","Destination","sum"
"2","Angola",15,1,0,16
"3","Argentina",4,0,0,4
"4","Armenia",0,0,1,1
"5","Asia",0,0,2,2
"6","Australia",6,1,4,11
"7","Austria",0,1,2,3
"8","Bahamas",1,0,1,2
"9","Bahrain",3,0,3,6
"10","Bangladesh",11,6,2,19
"11","Belgium",6,4,2,12
"12","Benin",0,1,0,1
"13","Botswana",1,0,0,1
"14","Brazil",10,3,13,26
"15","Bulgaria",0,0,1,1
"16","Burundi",3,0,0,3
"17","Cambodia",0,1,8,9
"18","Cameroon",4,2,0,6
"19","Canada",0,0,3,3
"20","Canary Islands",3,0,0,3
"21","Chile",1,0,0,1
"22","China",16,6,152,174
"23","Colombia",1,0,0,1
"24","Comoros",1,0,0,1
"25","Costa Rica",2,0,0,2
"26","Cuba",6,0,0,6
"27","Czech Republic",1,1,3,5
"28","Democratic Republic of the Congo",18,3,1,22
"30","Egypt",4,4,1,9
"31","El Salvador",2,0,0,2
"32","Estonia",0,0,1,1
"33","Ethiopia",9,16,0,25
"34","France",7,12,6,25
"35","French Guiana",2,0,0,2
"37","Germany",2,1,14,17
"38","Ghana",2,0,0,2
"39","Guinea",3,0,0,3
"40","Guyana",13,0,0,13
"41","India",43,4,10,57
"42","Indonesia",33,3,13,49
"43","Iran",0,1,1,2
"44","Iraq",0,0,1,1
"45","Ireland",0,0,1,1
"46","Israel",0,0,4,4
"47","Italy",4,1,4,9
"48","Ivory Coast",8,0,0,8
"49","Jamaica",1,0,0,1
"50","Japan",7,1,5,13
"51","Jordan",1,0,0,1
"52","Kazakhstan",2,0,0,2
"53","Kenya",28,40,1,69
"54","Kuwait",1,0,2,3
"55","Kyrgyzstan",1,0,0,1
"56","Laos",0,1,7,8
"57","Lebanon",2,0,0,2
"58","Libya",0,0,2,2
"59","Lybia",1,0,0,1
"60","Madagascar",31,0,0,31
"61","Malawi",18,7,0,25
"62","Malaysia",4,11,37,52
"63","Maldives",0,0,1,1
"64","Mali",1,0,0,1
"65","Malta",2,0,1,3
"66","Mauritius",1,2,0,3
"67","Mexico",13,1,9,23
"68","Morocco",2,1,1,4
"69","Mozambique",29,3,0,32
"70","Myanmar",0,1,0,1
"71","Namibia",2,0,0,2
"72","Nepal",1,0,1,2
"73","Netherlands",1,5,8,14
"74","New Zealand",1,0,0,1
"75","Nicaragua",1,0,0,1
"76","Niger",2,0,0,2
"77","Nigeria",21,2,3,26
"78","Oman",1,0,1,2
"79","Pakistan",16,1,4,21
"80","Panama",0,2,0,2
"81","Peru",2,0,0,2
"82","Philippines",3,0,2,5
"83","Portugal",2,1,0,3
"84","Qatar",5,19,4,28
"85","Republic of Congo",2,0,0,2
"86","Russia",10,2,10,22
"87","Rwanda",0,1,0,1
"88","Saudi Arabia",0,1,2,3
"89","Senegal",1,0,0,1
"91","Singapore",1,7,11,19
"92","Slovakia",0,0,1,1
"93","Somalia",0,0,1,1
"94","South Africa",18,11,1,30
"95","South Korea",0,5,0,5
"96","South Sudan",3,0,1,4
"97","Spain",0,2,6,8
"98","Sri Lanka",3,3,1,7
"99","Sudan",11,1,1,13
"100","Sudan ",0,1,0,1
"101","Suriname",1,0,0,1
"103","Switzerland",0,1,1,2
"104","Syria",1,0,1,2
"105","Taiwan",2,0,9,11
"106","Tanzania",6,1,0,7
"107","Thailand",16,22,64,102
"108","The Netherlands",0,2,0,2
"109","Togo",1,0,1,2
"110","Tunisia",0,1,0,1
"111","Turkey",2,5,0,7
"112","Uganda",17,2,0,19
"113","UK",3,5,12,20
"114","Ukraine",0,0,1,1
"115","United Arab Emirates",3,30,49,82
"116","USA",8,1,27,36
"117","Venezuela",4,0,0,4
"118","Vietnam",7,2,44,53
"119","Zambia",4,1,0,5
"120","Zimbabwe",11,0,0,11
