ID,Database,Seizure Country,Seizure City,Origin Country1,Origin City1,o.city1,o.city1 lat,o.city1 long,Origin Country2,Origin City2,o.city2,o.city2 lat,o.city2 long,Origin Country3,Origin City3,o.city3,o.city3 lat,o.city3 long,Transit Country1,Transit City1,t.city1,t.city1 lat,t.city1 long,Transit Country2,Transit City2,t.city2,t.city2 lat,t.city2 long,Transit Country3,Transit City3,t.city3,t.city3 lat,t.city3 long,Transit Country4,Transit City4,t.city4,t.city4 lat,t.city4 long,Destination Country1,Destination City1,d.city1,d.city1 lat,d.city1 long,Destination Country2,Destination City2,d.city2,d.city1 lat,d.city1 long,Destination Country3,Destination City 3,d.city3,d.city3 lat,d.city3 long
1,Birds,USA,New York,Guyana,,Georgetown,-18.30003416,143.5332955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,New York,40.74997906,-73.98001693,,,,,,,,,,
2,Birds,Australia,Melbourne,,,,,,,,,,,,,,,,UAE,Dubai,Dubai,25.22999615,55.27997432,,,,,,,,,,,,,,,,Australia,Melbourne,Melbourne,-37.82003131,144.9750162,,,,,,,,,,
3,Birds,Taiwan,Taipei,Indonesia,,Jakarta,-6.174417705,106.8294376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Birds,USA,Los Angeles,Vietnam,,Hanoi,21.03332725,105.8500142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Los Angeles,Los Angeles,-37.46000161,-72.35998661,,,,,,,,,,
5,Birds,Indonesia,Jakarta,Indonesia,Jakarta,Jakarta,-6.174417705,106.8294376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi Arabia,Riyadh,Riyadh,24.64083315,46.77274166,,,,,,,,,,
6,Birds,Australia,Perth,Indonesia,Denpasar,Denpasar,-8.650028871,115.2199849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia,,Canberra,-35.28302855,149.1290262,,,,,,,,,,
7,Birds,USA,New York,Guyana,Georgetown,Georgetown,-18.30003416,143.5332955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,New York,40.74997906,-73.98001693,,,,,,,,,,
8,Birds,Taiwan,Kaohsiung,China,,Beijing,39.92889223,116.3882857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Birds,India,Bangalore,India,Bangalore,Bangalore,12.96999514,77.56000972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,Delhi,Delhi,28.6699929,77.23000403,,,,,,,,,,
10,Birds,Russia,Moscow,Russia,Moscow,Moscow,55.75216412,37.61552283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qatar,Doha,Doha,25.28655601,51.53296789,,,,,,,,,,
11,Birds,Taiwan,Taipei,China,,Beijing,39.92889223,116.3882857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Birds,Malta,Luqa,Malta,Luqa,Luqa,35.8583,14.4869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Libya,Tripoli,Tripoli,37.50914329,22.37939856,,,,,,,,,,
13,Birds,Cameroon,Douala,Cameroon,Douala,Douala,4.060409769,9.709991006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas,,Nassau,25.08339012,-77.35004378,,,,,,,,,,
14,Birds,Russia,Petropavlovsk Kamchatskiy,Russia,Petropavlovsk Kamchatskiy,Petropavlovsk Kamchatskiy,53.06199241,158.6230204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russia,Vladivostok,Vladivostok,43.13001467,131.9100256,,,,,,,,,,
15,Birds,Cameroon,Douala,Cameroon,Douala,Douala,4.060409769,9.709991006,,,,,,,,,,,Ethiopia,Addis Ababa,Addis Ababa,9.033310363,38.70000443,,,,,,,,,,,,,,,,Kuwait,Kuwait City,Kuwait City,29.36971763,47.97830115,Bahrain,Manama,Manama,26.23613629,50.58305172,,,,,
16,Birds,Bulgaria,Sofia,Lebanon,Beirut,Beirut,33.87197512,35.50970821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bulgaria,Sofia,Sofia,42.68334943,23.31665401,,,,,,,,,,
17,Birds,United Kingdom,Birmingham,United Kingdom,Birmingham,Birmingham,52.47497398,-1.919996787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAE,Dubai,Dubai,25.22999615,55.27997432,,,,,,,,,,
